"OriginalPath","RecoveryPath","Role","Authority","SizeBytes","CreationTime","LastWriteTime","SHA256"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\Spinelli_Alcubierre_Stage4C_Notebook.ipynb","historical/stages1-5/notebooks/stage4/Spinelli_Alcubierre_Stage4C_Notebook.ipynb","Earlier Stage 4 design notebook","predecessor","20775","2026-06-09T13:20:31.0306694-04:00","2026-07-03T15:22:18.4311843-04:00","C1DA8976D43278CEDA9FC019FCAAB69703745073F7EE6AF56E662C5DFFB0AC38"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\Spinelli_Stage5_parameter_sweep_and_magnitude_test.ipynb","historical/stages1-5/notebooks/stage5/Spinelli_Stage5_parameter_sweep_and_magnitude_test.ipynb","Executed Stage 5A-B notebook","authoritative notebook","229953","2026-06-09T23:16:15.4110448-04:00","2026-07-03T15:22:18.4311843-04:00","E1AB681D65329DE8460F78CC712E07741165CD88970491355153EF4D553561BE"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports.zip","historical/stages1-5/results/stage4/packages/stage4_dim4_article_exports.zip","Canonical Stage 4A-C figures and tables","canonical package","696640","2026-06-09T15:56:12.0216479-04:00","2026-06-09T15:56:12.4324841-04:00","B17B799D64616C1070D7E1B761AA5CDB6818EC17FE50BDAC7749A14E1333C36D"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports_dim4_n61.zip","historical/stages1-5/results/stage4/packages/stage4_dim4_article_exports_dim4_n61_earlier.zip","Earlier repeated Stage 4A-C export","provenance package","696640","2026-06-09T14:24:36.4524092-04:00","2026-06-09T14:24:37.0918184-04:00","B6A3D0B81B4D755D700F352ACBB21A7A7982FA7DCF571676A485BB67F66E651F"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4D_action_Q_comparison_exports.zip","historical/stages1-5/results/stage4/packages/stage4D_action_Q_comparison_exports.zip","Stage 4D figures and tables","canonical package","486867","2026-06-09T23:03:38.3390995-04:00","2026-06-09T23:03:38.6742370-04:00","20C223E5EC5614745B165873EC2A5C88281DF230D7C1A346B05A5B03CEF58EAE"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports\README.txt","historical/stages1-5/results/stage4/stage4A-C/primary_tables/README.txt","Stage 4A-C primary result","primary result","1219","2026-06-09T15:56:12.0201085-04:00","2026-06-09T15:56:12.0204634-04:00","1BD8130EADC838C6BB5546539E4242CD5DE5A4B73403E2A0B0EE2B05D09D9EB8"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports\run_metadata.csv","historical/stages1-5/results/stage4/stage4A-C/primary_tables/run_metadata.csv","Stage 4A-C primary result","primary result","346","2026-06-09T15:48:40.0105627-04:00","2026-06-09T15:48:40.0151948-04:00","C6D9443A765C07369EAD429A955B1223DF919CC23687D56CF49272BB7C0A3270"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports\run_metadata.json","historical/stages1-5/results/stage4/stage4A-C/primary_tables/run_metadata.json","Stage 4A-C primary result","primary result","467","2026-06-09T15:48:40.0042656-04:00","2026-06-09T15:48:40.0065186-04:00","BB0918DBCC29EE132A68BFF85C7AEA5EBD18A8CC46A6964105670DFF02128144"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports\stage4A_dim4_bianchi_validation.csv","historical/stages1-5/results/stage4/stage4A-C/primary_tables/stage4A_dim4_bianchi_validation.csv","Stage 4A-C primary result","primary result","370","2026-06-09T15:48:55.0356836-04:00","2026-06-09T15:48:55.0391420-04:00","3F39B3569B4794A726F22EA442EDCCF0DF4985B7655E41CEF5B6F86CD2408109"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports\stage4B_dim4_hessian_Q_proxy.csv","historical/stages1-5/results/stage4/stage4A-C/primary_tables/stage4B_dim4_hessian_Q_proxy.csv","Stage 4A-C primary result","primary result","211","2026-06-09T15:49:11.0546462-04:00","2026-06-09T15:49:11.0697163-04:00","C6C530B69484F961782E149CA99EA12A0385B2F20FD05234C749CBC49071CB11"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports\stage4C_dim4_candidate_ranking.csv","historical/stages1-5/results/stage4/stage4A-C/primary_tables/stage4C_dim4_candidate_ranking.csv","Stage 4A-C primary result","primary result","605","2026-06-09T15:56:08.6584348-04:00","2026-06-09T15:56:08.6709977-04:00","09ED8A44E70F8050AFF8269B11DF425F5CB973793255A8E47420282A4A638FF1"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4_dim4_article_exports\stage4C_dim4_fit_parameters.csv","historical/stages1-5/results/stage4/stage4A-C/primary_tables/stage4C_dim4_fit_parameters.csv","Stage 4A-C primary result","primary result","371","2026-06-09T15:49:52.4028594-04:00","2026-06-09T15:49:52.4071207-04:00","23FAA2D69D819F962230EA9554D4776B10FA1F511462553F0B574CBB10EA46AE"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4D_action_Q_comparison_exports\README.txt","historical/stages1-5/results/stage4/stage4D/primary_tables/README.txt","Stage 4D primary result","primary result","887","2026-06-09T23:03:38.3327535-04:00","2026-06-09T23:03:38.3356087-04:00","9A58BDED1ED1B9C14D65EC0689CDDEE227DBD5E2CBF9F95754E6B44AE8CF7D64"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4D_action_Q_comparison_exports\stage4D_action_vs_fitted_Q_comparison.csv","historical/stages1-5/results/stage4/stage4D/primary_tables/stage4D_action_vs_fitted_Q_comparison.csv","Stage 4D primary result","primary result","476","2026-06-09T23:03:26.7772871-04:00","2026-06-09T23:03:26.8137213-04:00","0A5B9A2A8BF021336A70064E785FAEACF96F4427B1803B9DC533D1A28CC9EA85"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4D_action_Q_comparison_exports\stage4D_action_vs_fitted_Q_summary.csv","historical/stages1-5/results/stage4/stage4D/primary_tables/stage4D_action_vs_fitted_Q_summary.csv","Stage 4D primary result","primary result","400","2026-06-09T23:03:26.9906339-04:00","2026-06-09T23:03:26.9926759-04:00","6FF939C5A65D1D85D4E78357BCF17E9D25B5B0FEDB85B5D0E0D49724F878B7E9"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\stage4D_action_Q_comparison_exports\stage4D_action_vs_fitted_Q_summary.json","historical/stages1-5/results/stage4/stage4D/primary_tables/stage4D_action_vs_fitted_Q_summary.json","Stage 4D primary result","primary result","478","2026-06-09T23:03:26.9760321-04:00","2026-06-09T23:03:26.9760321-04:00","E3ABEC7AF468851C0A6FAFBFB8B09BAB023F0E4AEC045A4E6490885A08CFAD64"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs.zip","historical/stages1-5/results/stage5/packages/stage5_parameter_sweep_outputs.zip","Final Stage 5A-B figures and tables","canonical package","3831746","2026-06-10T12:57:12.6104730-04:00","2026-06-10T12:57:14.4903304-04:00","E0C8516627A590AEE4E1AF1E34F544D759C7E1C7148803EE0E312C2CF3F50CCE"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs_without_confirmation.zip","historical/stages1-5/results/stage5/packages/stage5_parameter_sweep_outputs_without_confirmation.zip","First completed Stage 5A package","provenance package","647127","2026-06-09T23:50:53.0982624-04:00","2026-06-09T23:50:53.2820900-04:00","A4D8A846197D0F2840795B0DE89F1ACDD3223D2B8DC7E87F149BEFE5FB23F5F9"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs\README.txt","historical/stages1-5/results/stage5/primary_tables/README.txt","Stage 5 primary result","primary result","1110","2026-06-10T12:57:12.6084724-04:00","2026-06-10T12:57:12.6094731-04:00","14C083F8C4A2A2DFED47BC9648228E08033F2A5B39D9C052CB98CE780C3B323C"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs\stage5_article_table.csv","historical/stages1-5/results/stage5/primary_tables/stage5_article_table.csv","Stage 5 primary result","primary result","12167","2026-06-10T12:57:12.5183528-04:00","2026-06-10T12:57:12.5203520-04:00","02AF7E51E331A175B8E10F01EDF8AD38CB4AF103DF157438F7E16E0B1B7A9F99"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs\stage5_summary.csv","historical/stages1-5/results/stage5/primary_tables/stage5_summary.csv","Stage 5 primary result","primary result","336","2026-06-10T12:57:05.9612448-04:00","2026-06-10T12:57:05.9653315-04:00","B71FC61257B0A085509AAB200319E8B5F9BA2972E8EAE854DF506FB88C13DC61"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs\stage5_summary.json","historical/stages1-5/results/stage5/primary_tables/stage5_summary.json","Stage 5 primary result","primary result","414","2026-06-10T12:57:05.9550436-04:00","2026-06-10T12:57:05.9572409-04:00","1B2ECBCCC4C59DB79B39991625E64EC5F6117645464FE101D6E3E922650B88DA"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs\stage5A_parameter_sweep_results.csv","historical/stages1-5/results/stage5/primary_tables/stage5A_parameter_sweep_results.csv","Stage 5 primary result","primary result","32409","2026-06-10T07:29:06.2276687-04:00","2026-06-10T07:58:43.1707425-04:00","5AB3780925D6CA72C5D1F6E1B632F271252EAE262F855B055AFDFAF704871BBA"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 5 test\stage5_parameter_sweep_outputs\stage5B_confirmation_results.csv","historical/stages1-5/results/stage5/primary_tables/stage5B_confirmation_results.csv","Stage 5 primary result","primary result","16479","2026-06-10T08:10:44.8455610-04:00","2026-06-10T12:57:05.3404432-04:00","FAA54BF1DBCB133E31950E4FBB368516D89ADFCC9A0AB90C5BDB8D8593EDFF11"
